front,back
"[Optimization] Weight-only quantization (W4A16): which inference phase does it speed up and why?","Decode. Decode is memory-bandwidth-bound and streams all weights every step; 4x smaller weights means ~4x fewer bytes moved. Prefill math still runs in FP16, so compute-bound prefill barely changes."
"[Optimization] Weight+activation quantization (W8A8 INT8/FP8): what does it accelerate that weight-only cannot?","Compute-bound work (prefill, large-batch GEMMs), because the matmuls themselves run on low-precision Tensor Cores at higher FLOP rates, not just with smaller weights."
"[Optimization] PTQ vs QAT in one line each","PTQ: quantize a trained model using a small calibration set, no training loop. QAT: simulate quantization during training so weights adapt; better at very low bits but costs a training run."
"[Optimization] GPTQ core mechanism","Layer-by-layer weight-only quantization that uses approximate second-order (Hessian-based) information to adjust remaining weights and compensate rounding error, minimizing per-layer output error on calibration data."
"[Optimization] AWQ core mechanism","Activation-aware Weight Quantization: finds the ~1% salient weight channels via activation magnitudes and rescales them per-channel before uniform 4-bit quantization; no backprop, fast kernels."
"[Optimization] What problem does SmoothQuant address and how?","Activation outliers that break INT8 activation quantization; it migrates difficulty from activations to weights with per-channel scaling (divide activations, multiply weights) to enable W8A8."
"[Optimization] FP8 formats: E4M3 vs E5M2","E4M3: more mantissa (precision), used for weights/activations in inference. E5M2: more exponent (range), used for gradients in training. FP8 Tensor Cores: Hopper/Ada and later."
"[Optimization] What is NVFP4?","NVIDIA's 4-bit floating-point format with fine-grained per-block scaling, native to Blackwell Tensor Cores; roughly halves memory vs FP8 with small accuracy loss when calibrated."
"[Optimization] Memory for an 8B-parameter model at FP16 / INT8 / INT4 (weights only)","~16 GB / ~8 GB / ~4-4.5 GB (4-bit plus scale metadata). Rule: bytes-per-param times parameter count."
"[Optimization] Structured vs unstructured pruning: which gives real GPU speedups and why?","Structured (remove heads/layers/channels) - the dense matrices shrink, so standard kernels run faster. Unstructured sparsity needs special sparse kernels to pay off."
"[Optimization] What is 2:4 semi-structured sparsity?","At least 2 zeros in every group of 4 weights; Sparse Tensor Cores (Ampere+) skip zeros for up to 2x matmul throughput. Usually needs fine-tuning/distillation to recover accuracy."
"[Optimization] Knowledge distillation: what does the student learn from beyond hard labels?","The teacher's temperature-softened output distribution (soft logits, via KL loss), and optionally intermediate hidden states/attention maps - richer signal than one-hot labels."
"[Optimization] NVIDIA Minitron recipe","Prune a trained large model (depth and/or width), then distill from the original to recover quality using a small fraction of original tokens - how compact Llama-3.1-Minitron/Nemotron variants were made."
"[Optimization] Speculative decoding: why is output quality provably unchanged?","The target model verifies drafted tokens with rejection sampling based on target/draft probability ratios; accepted tokens are distributed exactly as target-model samples. Only latency changes."
"[Optimization] What determines speculative decoding speedup, and which regime does it help?","Draft acceptance rate (draft-target alignment) and draft cost. Helps memory-bound decode by amortizing weight reads over several tokens per forward pass; useless for compute-bound prefill."
"[Optimization] Medusa vs EAGLE vs draft-model speculation","Draft-model: separate small LLM proposes tokens. Medusa: extra decoding heads on the target model predict several future tokens. EAGLE: drafts at the feature (hidden-state) level for higher acceptance rates."
"[Optimization] TensorRT Model Optimizer: what is it?","NVIDIA's library for model compression - PTQ and QAT (FP8/INT8/INT4/NVFP4), sparsity, pruning, distillation - exporting artifacts consumable by TensorRT-LLM and other engines."
"[GPU] Why is LLM decode memory-bound?","Each generated token requires reading all model weights and the growing KV cache while doing comparatively few FLOPs (GEMV-like ops at low batch) - arithmetic intensity far below the GPU's compute/bandwidth ratio."
"[GPU] Arithmetic intensity and the roofline: what decides compute- vs memory-bound?","FLOPs per byte of memory traffic. Below the ridge point (GPU peak FLOPs / memory bandwidth) the op is limited by HBM bandwidth; above it, by compute. Batching raises intensity."
"[GPU] Prefill vs decode: workload characteristics","Prefill: all prompt tokens in parallel, big GEMMs, compute-bound, tensor-core heavy, sets TTFT. Decode: one token per step per sequence, bandwidth-bound, sets ITL."
"[GPU] What do Tensor Cores do, and what happens to throughput as precision halves?","Dedicated matrix-multiply-accumulate units. Peak throughput roughly doubles each precision step down (FP16 -> FP8 -> FP4 on Blackwell), with accumulation kept in higher precision."
"[GPU] Why is BF16 preferred over FP16 for training?","BF16 keeps FP32's 8-bit exponent (same dynamic range) so no loss scaling and fewer under/overflows; it sacrifices mantissa, which training tolerates well."
"[GPU] Kernel fusion: what does it actually save?","Memory round-trips to HBM (and kernel-launch overhead) by computing several ops in one kernel while data stays in registers/SRAM. It saves bandwidth, not FLOPs."
"[GPU] FlashAttention in two sentences","Computes exact attention in SRAM tiles using online softmax, never materializing the NxN score matrix in HBM. Memory drops from O(N^2) to O(N) and wall-clock improves because attention is memory-bound."
"[GPU] What do CUDA graphs optimize in LLM serving?","Kernel-launch overhead: capture the decode step's kernel sequence once and replay it, removing per-kernel CPU launch latency that dominates small, fast decode kernels."
"[GPU] Continuous (in-flight) batching: the problem and the fix","Static batches idle while the longest sequence finishes. Continuous batching re-schedules every iteration - finished sequences exit, queued requests join mid-flight - keeping the GPU full despite variable output lengths."
"[GPU] Paged attention: mechanism and the two things it unlocks","KV cache stored in fixed-size blocks with per-sequence block tables (virtual memory for KV). Kills fragmentation from contiguous allocation and enables sharing/copy-on-write - e.g. prefix caching of a common system prompt."
"[GPU] Chunked prefill: why interleave prompt chunks with decode?","A long monolithic prefill blocks decode iterations for every running request, spiking their ITL. Chunking bounds each iteration's prefill work so ongoing streams stay smooth."
"[GPU] DDP in one breath","Full model replica per GPU; each rank trains a disjoint data shard; gradients synchronized by bucketed all-reduce overlapped with backward; requires the model (plus optimizer state) to fit on one GPU."
"[GPU] FSDP/ZeRO-3 in one breath","Parameters, gradients, and optimizer states sharded across ranks; parameters all-gathered just-in-time per layer and freed after use; gradients reduce-scattered - fits much larger models for more communication."
"[GPU] ZeRO stages 1/2/3","Stage 1 shards optimizer states; stage 2 adds gradient sharding; stage 3 adds parameter sharding (full FSDP-style)."
"[GPU] Why does tensor parallelism demand NVLink-class bandwidth?","It all-reduces activations multiple times per layer per microbatch - very high frequency and volume, latency-sensitive - so it only performs well intra-node on NVLink/NVSwitch."
"[GPU] Pipeline parallel bubble: formula intuition and fix","Idle fraction ~ (stages-1)/(microbatches+stages-1). Shrink it with more microbatches per global batch and 1F1B/interleaved schedules."
"[GPU] Megatron-style 3D parallelism placement rule","Tensor parallel inside the node (NVLink), pipeline parallel across nodes (point-to-point, low volume), data parallel across the remaining replica dimension."
"[GPU] Map each parallelism to its dominant NCCL communication","DDP -> all-reduce (grads). FSDP -> all-gather (params) + reduce-scatter (grads). TP -> per-layer all-reduce of activations. PP -> point-to-point send/recv of activations."
"[GPU] NCCL transport preference order","Intra-node: NVLink/NVSwitch P2P > PCIe P2P > SHM (host shared memory). Inter-node: NET/IB with GPUDirect RDMA > NET/Socket (TCP). Verify with NCCL_DEBUG=INFO 'via ...' lines."
"[GPU] Which torchrun-injected env vars must a distributed script care about?","RANK (global), LOCAL_RANK (GPU binding on the node), WORLD_SIZE, LOCAL_WORLD_SIZE, MASTER_ADDR, MASTER_PORT (rendezvous for init_process_group)."
"[Prompting] Zero-shot vs few-shot: when do examples actually help?","When the task format/label space is unusual or ambiguous - examples teach format and mapping. Strong instruction-tuned models often do fine zero-shot on common tasks; examples cost context tokens."
"[Prompting] Known sensitivities of few-shot prompting","Example selection, ordering (recency bias), formatting consistency, and label distribution (majority-label bias) all shift accuracy."
"[Prompting] Chain-of-thought: what it is and when it pays","Prompting the model to produce intermediate reasoning steps before the answer; pays on multi-step reasoning (math, logic, planning), not on simple extraction or recall - where it adds cost and can add errors."
"[Prompting] Self-consistency","Sample k CoT completions at temperature>0, majority-vote the final answers. Buys accuracy on reasoning tasks at kx inference cost."
"[Prompting] Why do chat templates matter as much as prompt wording?","Chat models are trained with specific role/special-token structure; prompting outside that template is out-of-distribution and degrades quality regardless of wording. Always apply_chat_template or use a chat endpoint."
"[Prompting] Temperature: what it does mathematically","Divides logits before softmax. T->0 approaches greedy argmax (deterministic-ish); T>1 flattens the distribution, increasing diversity and error rate."
"[Prompting] Top-k vs top-p (nucleus) sampling","Top-k: sample from the k highest-probability tokens (fixed count). Top-p: sample from the smallest set whose cumulative probability exceeds p (adaptive count) - adapts to how peaked the distribution is."
"[Prompting] Settings for a deterministic extraction pipeline","Temperature 0 / greedy, constrained or guided decoding against a JSON schema or grammar, few-shot examples of the exact output format, low max_tokens."
"[Prompting] What is guided/constrained decoding?","Masking invalid next tokens during generation so output must satisfy a grammar/JSON schema (e.g. vLLM guided_json, outlines) - guarantees syntactic validity, unlike 'please respond in JSON'."
"[Prompting] RAG pipeline stages in order","Ingest/parse -> chunk -> embed -> index in a vector store -> retrieve (dense/hybrid) -> rerank (cross-encoder) -> assemble grounded prompt -> generate -> (cite/validate)."
"[Prompting] RAG vs fine-tuning: the decision rule","RAG for knowledge: fresh, attributable, updatable, deletable facts. Fine-tuning for behavior: style, format, domain reasoning patterns. Frequently the right answer is both, split by purpose."
"[Prompting] Why add a cross-encoder reranker instead of raising top-k?","Bi-encoder retrieval is coarse (independent embeddings). A cross-encoder scores query+passage jointly, sharply improving precision of the few chunks that enter the prompt; big top-k adds noise and lost-in-the-middle risk."
"[Prompting] 'Lost in the middle' phenomenon","LLMs attend best to the beginning and end of long contexts; relevant evidence buried mid-context is often ignored - argument for reranking, context pruning, and placing key content at the edges."
"[Prompting] Embedding model vs generator model in RAG","Different models: a (usually small) embedding model maps text to vectors for retrieval; the LLM only sees retrieved text. Swapping the LLM does not require re-embedding; swapping the embedder does mean re-indexing."
"[Prompting] NVIDIA components for RAG retrieval","NeMo Retriever - NIM microservices for text embedding and reranking - plus an LLM NIM for generation; all OpenAI-compatible APIs deployable on K8s."
"[Prompting] Chunking: the core trade-off","Small chunks: precise retrieval, fragmented context. Large chunks: more context, diluted embeddings and wasted prompt budget. Overlap smooths boundaries; semantic/recursive splitting respects structure."
"[Prompting] System prompt vs user prompt: why the hierarchy matters","System role carries developer intent with higher priority during alignment training; putting policy in the user turn makes it easier to override and mix with untrusted content."
"[Fine-tuning] LoRA forward equation with scaling","h = Wx + (alpha/r) * B(Ax); W frozen, A (r x d) random-init, B (d x r) zero-init so training starts exactly at the base model."
"[Fine-tuning] Why is LoRA's B matrix zero-initialized?","So delta-W = BA = 0 at step zero - the adapted model begins identical to the pretrained model and learns a smooth perturbation instead of random noise."
"[Fine-tuning] LoRA trainable params for one d x d projection at rank r","2*d*r (A and B) vs d^2 original. At d=4096, r=16: ~131k vs 16.8M - under 1%. Typical whole-model LoRA: <1% trainable."
"[Fine-tuning] Typical LoRA hyperparameters","r=8-64, alpha ~ 2r, dropout 0.05-0.1, LR 1e-4 to 3e-4 (about 10x full-FT), 1-3 epochs, target attention projections (q,k,v,o) plus optionally MLP."
"[Fine-tuning] Why does full fine-tuning of a 7B model need >100 GB?","AdamW training keeps grads plus FP32 momentum/variance/master weights - roughly 16+ bytes per parameter versus 2 for BF16 inference - plus activations. This is exactly what ZeRO/FSDP shards."
"[Fine-tuning] QLoRA's three techniques","NF4 4-bit quantization of the frozen base weights, double quantization of the scale constants, and paged optimizers that spill state to CPU on spikes - enabling 7-8B fine-tunes on 24 GB."
"[Fine-tuning] In QLoRA, what stays high precision?","LoRA adapters, gradients, and optimizer state (BF16/FP32); base weights are dequantized on the fly for compute. Gradients flow through the frozen 4-bit weights into the adapters only."
"[Fine-tuning] Merging a LoRA adapter: math and consequence","W' = W + (alpha/r) * BA folded into the base weights - inference is then identical in cost to the base model; you lose hot-swappability of the adapter."
"[Fine-tuning] SFT loss masking","Compute loss only on assistant-response tokens, ignoring prompt/user tokens - so the model learns to answer, not to echo prompts."
"[Fine-tuning] LIMA lesson for SFT data","Quality beats quantity: ~1k excellent, diverse demonstrations can align a strong base model; noisy bulk data mostly teaches noise."
"[Fine-tuning] RLHF three stages and each artifact","1) SFT -> instruction-following policy. 2) Reward model trained on human preference pairs. 3) PPO optimizing the policy against the RM with a KL penalty to the SFT reference."
"[Fine-tuning] Why the KL penalty in RLHF PPO?","Anchors the policy near the SFT model to prevent reward hacking - drifting into degenerate outputs that exploit reward-model blind spots (verbosity, sycophancy)."
"[Fine-tuning] DPO vs PPO-RLHF","DPO removes the explicit reward model and RL loop: a classification-style loss on preference pairs with the policy/reference log-ratio as implicit reward (beta controls drift). Simpler, cheaper, stabler; offline."
"[Fine-tuning] KTO and ORPO one-liners","KTO: preference optimization from unpaired thumbs-up/down signals. ORPO: folds preference optimization into SFT without a separate reference model."
"[Fine-tuning] Catastrophic forgetting: causes and mitigations in FT","Too-high LR, too many epochs, too-narrow data. Mitigate: lower LR/early stop, mix general 'replay' data, prefer PEFT (frozen base limits damage), monitor a general benchmark during training."
"[Fine-tuning] Prompt tuning / p-tuning vs LoRA","Learn soft virtual-token embeddings prepended to input (model fully frozen) - tiny footprint, historically NeMo's PEFT; LoRA usually wins on quality and merges to zero overhead, so it dominates."
"[Fine-tuning] NVIDIA tooling for fine-tuning and alignment","NeMo framework (Megatron-parallel training recipes, PEFT) and NeMo-Aligner (SFT, reward modeling, PPO RLHF, DPO at multi-GPU scale)."
"[Fine-tuning] When is full FT justified over LoRA?","Deep capability change with lots of data (new language/domain, continued pretraining), squeezing final quality with hardware to spare, or when you'd merge anyway and want no adapter machinery."
"[Data] Pretraining curation pipeline in order","Extraction (HTML->text) -> language ID -> heuristic filters (length, symbol ratio, boilerplate) -> model-based quality filtering -> dedup (exact, fuzzy, semantic) -> PII redaction + toxicity filtering -> tokenize and pack."
"[Data] Exact vs fuzzy vs semantic dedup","Exact: hash-identical documents. Fuzzy: near-duplicates via MinHash + LSH approximating Jaccard similarity at scale. Semantic: same meaning, different words - embedding clustering."
"[Data] Why deduplicate training data at all?","Reduces memorization/regurgitation (privacy, copyright), prevents distribution skew, avoids benchmark contamination, and saves compute per unit of learning."
"[Data] MinHash-LSH in one sentence","Compact per-document signatures whose collision probability approximates Jaccard similarity, bucketed by LSH so near-duplicates are found without comparing all pairs."
"[Data] What is NeMo Curator?","NVIDIA's GPU-accelerated (RAPIDS/Dask) data-curation framework: extraction, language ID, heuristic and classifier filters, exact/fuzzy/semantic dedup, PII redaction, synthetic-data generation pipelines."
"[Data] Heuristic vs model-based quality filtering","Heuristics: cheap rules (doc length, symbol/word ratios, repetition, boilerplate). Model-based: a trained classifier scores 'quality' (e.g. resembling curated text) - better precision, needs labeled seed data and compute."
"[Data] When should you train a custom tokenizer, and what does it break?","When the domain's text tokenizes badly (new languages, code, bio sequences, heavy jargon). It breaks alignment with pretrained embeddings/LM head - requires embedding extension/reinit and (continued) pretraining."
"[Data] Instruction-dataset formats you should recognize","Prompt/completion pairs; multi-turn chat JSONL with role/content messages; preference pairs (chosen/rejected) for RLHF-DPO. Consistency with the inference chat template is critical."
"[Data] Synthetic data for LLM training: main use and main risk","Use: cheap scaling of instruction/preference data from a strong teacher (plus filtering). Risks: teacher bias inheritance and licensing terms restricting training on generated outputs; unfiltered self-training degrades quality."
"[Deployment] vLLM in one line","Open-source high-throughput inference engine built on paged attention and continuous batching, with day-one model support, OpenAI-compatible server, quantized-checkpoint loading, TP support."
"[Deployment] TensorRT-LLM in one line and its trade-off","NVIDIA's compiled inference stack: fused kernels and FP8/INT4/NVFP4 engines built ahead-of-time per GPU arch, with in-flight batching - peak NVIDIA performance for less flexibility and a build step."
"[Deployment] Triton Inference Server's role","Framework-agnostic serving layer: model repository and versioning, multiple backends (TRT-LLM, PyTorch, ONNX), ensembles/pipelines, dynamic + in-flight batching, standardized metrics."
"[Deployment] What is NVIDIA NIM?","Prebuilt, enterprise-supported inference microservice containers exposing an OpenAI-compatible API, auto-selecting an optimized engine profile (TRT-LLM or vLLM path, precision, TP) for the detected GPU; deployed on K8s via the NIM Operator."
"[Deployment] Disaggregated prefill/decode serving (Dynamo)","Run compute-bound prefill and bandwidth-bound decode on separate GPU pools, transferring KV between them; each pool sized/tuned per phase. NVIDIA Dynamo orchestrates this with KV-aware routing."
"[Deployment] Serving 40 tenant fine-tunes of one base model cheaply","Multi-LoRA serving: one resident base model plus hot-swapped per-tenant adapters (MB each) - supported by vLLM and TRT-LLM/NIM; merged copies would multiply weight memory 40x."
"[Deployment] When must you shard a model across GPUs for inference?","When weights + KV cache exceed one GPU's memory (or to hit latency targets): use tensor parallelism intra-node; pipeline parallelism only when spanning nodes is unavoidable."
"[Deployment] K8s GPU-sharing options for inference (MIG / time-slicing / MPS)","MIG: hardware partitions with memory/SM isolation - multi-tenant SLO-safe. Time-slicing: software context switching, no isolation - dev/bursty only. MPS: concurrent kernels share SMs, no memory isolation - many small same-trust jobs."
"[Deployment] Model artifact flow to production on the NVIDIA stack","Checkpoint -> optimize/quantize (TensorRT Model Optimizer) -> engine or runtime (TRT-LLM / vLLM) -> served via Triton or packaged as NIM -> orchestrated on K8s (NIM Operator, autoscaling, DRA for GPU claims)."
"[Monitoring] TTFT and what drives it","Time to first token: queueing + prefill (prompt length, prefill compute, scheduler). The 'feels responsive' metric for streaming UIs."
"[Monitoring] ITL/TPOT and what drives it","Inter-token latency (time per output token after the first): decode speed - memory bandwidth, batch contention, KV pressure. Total latency = TTFT + ITL x output tokens."
"[Monitoring] Why report P95/P99 instead of mean latency?","Latency is heavy-tailed; the tail is what users repeatedly hit and what SLOs bind. Means hide interference pathologies (e.g. long-prompt prefill stalls) that P99 exposes."
"[Monitoring] Goodput","Throughput that meets the SLO (e.g. req/s with TTFT<500ms and ITL<50ms). Oversized batches can raise raw tokens/s while goodput falls because everyone violates latency."
"[Monitoring] Why can GPU utilization be 95% while performance is poor?","'Utilization' only means a kernel was resident; memory-bound kernels keep the GPU 'busy' while SMs stall on HBM. Check SM/tensor activity, achieved batch, KV utilization, throttling instead."
"[Monitoring] DCGM and dcgm-exporter","NVIDIA's data-center GPU telemetry/health stack; the exporter feeds Prometheus/Grafana with memory use, SM activity, power, temperature, throttle reasons, XID errors, NVLink counters."
"[Monitoring] XID errors","GPU fault codes in kernel logs / DCGM (e.g. ECC errors, falling off the bus) - trigger node health actions: cordon/drain, RMA. A fleet-reliability signal, not an app bug."
"[Monitoring] Canary vs shadow deployment for a model swap","Canary: small live-traffic slice to the new model, gated promotion, auto-rollback. Shadow: mirror traffic, discard responses, compare offline - zero user risk, no user feedback. Regulated/high-risk swaps: shadow first."
"[Monitoring] Detecting drift without labels","Input side: prompt/embedding distribution shift vs a reference window. Output side: proxy metrics (refusal rate, length, format failures, guardrail triggers, user retries) plus scheduled golden-set evals through the live stack."
"[Monitoring] Readiness probe design for an LLM server","Readiness must verify model loaded + tiny inference succeeds (not just port-open); long startup probe window for model load; fail readiness on queue/KV saturation so the LB sheds load."
"[Evaluation] Perplexity: definition and two limits","exp(mean negative log-likelihood per token). Limits: tokenizer-dependent (not comparable across vocabularies) and measures LM fit, not instruction quality, reasoning, or safety."
"[Evaluation] MMLU / GSM8K / HumanEval / MT-Bench / TruthfulQA - what does each measure?","MMLU: broad multi-subject knowledge (MCQ). GSM8K: multi-step math word problems. HumanEval: Python codegen scored pass@k via unit tests. MT-Bench: multi-turn quality via LLM judge. TruthfulQA: resistance to common falsehoods."
"[Evaluation] pass@k","Probability that at least one of k sampled code solutions passes all unit tests - pass@1 is single-shot correctness."
"[Evaluation] Benchmark contamination","Eval data leaked into training corpora inflates scores. Counter: dedup training data against benchmark sets, private/rotating evals, overlap scans."
"[Evaluation] Three LLM-as-judge biases + mitigations","Position bias -> score both answer orders and average. Verbosity bias -> explicit rubric, length control. Self-preference -> different/stronger judge or judge panel. Always spot-validate judge vs human agreement."
"[Evaluation] Why ROUGE/BLEU are weak for assistant evaluation","N-gram overlap with a reference: great answers can share few n-grams, bad answers can share many. Acceptable for constrained summarization/MT regression, not for open-ended quality verdicts."
"[Evaluation] RAG evaluation triad","Faithfulness/groundedness (answer supported by retrieved context), answer relevance (addresses the question), context relevance/recall (retriever found the right evidence)."
"[Evaluation] Standard eval tooling to name","lm-evaluation-harness (academic benchmark battery), MT-Bench/Arena-style judged comparisons, NVIDIA NeMo Evaluator for managed benchmark + custom evals."
"[Architecture] Scaled dot-product attention formula and the reason for the scale","softmax(Q K^T / sqrt(d_k)) V; dividing by sqrt(d_k) keeps logit variance ~1 so softmax doesn't saturate and gradients flow."
"[Architecture] MHA vs MQA vs GQA and the deployment consequence","MHA: per-head K/V. MQA: one shared K/V head. GQA: K/V shared per query-head group. KV-cache size scales with KV-head count, so MQA/GQA cut cache memory several-fold - enabling bigger batches/contexts."
"[Architecture] KV cache size formula","2 (K,V) x layers x kv_heads x head_dim x seq_len x batch x bytes_per_elem. Grows linearly with context and batch; dominates VRAM at high concurrency."
"[Architecture] RoPE and why it extends","Rotary Position Embedding rotates Q/K by position-dependent angles so scores depend on relative position; rescaling rotation frequencies (position interpolation, NTK-aware, YaRN) stretches context beyond training length."
"[Architecture] Modern decoder-block deltas vs the 2017 Transformer","Decoder-only, pre-norm with RMSNorm, SwiGLU MLP, RoPE instead of sinusoidal-absolute, GQA attention, no cross-attention/encoder."
"[Architecture] BPE in one line and the vocab-size trade-off","Iteratively merge the most frequent symbol pairs into tokens; byte-level BPE guarantees no OOV. Bigger vocab: shorter sequences but larger embedding/softmax and rarer-token undertraining; smaller vocab: the reverse."
"[Safety] Direct vs indirect prompt injection","Direct: the user attacks in their own message ('ignore previous instructions'). Indirect: instructions hidden in content the system ingests (retrieved docs, emails, web pages) - the primary RAG threat, bypassing user-input filters."
"[Safety] NeMo Guardrails: what it is and its rail types","Programmable runtime framework (Colang) around any LLM: input rails, dialog rails, retrieval rails, execution rails (tools), output rails - hooking moderation/jailbreak/groundedness checks like Llama Guard-class classifiers."
"[Safety] Alignment vs guardrails","Alignment (RLHF/DPO, safety SFT) shapes the model's weights; guardrails enforce policy at runtime around the model. Defense in depth: aligned models still jailbreak, so production needs both."
"[Safety] PII across the LLM lifecycle","Curation-time redaction (NeMo Curator) - the only reliable point, since unlearning trained PII is impractical; inference-time detection/masking on inputs and outputs; logging policy (retention, access, no raw prompt hoarding)."
"[Safety] Open-weights vs open-source, with a licensing example each","Open-weights = downloadable weights under a custom license (Llama community license: AUP, attribution, large-scale-user thresholds) without open data/code. Apache-2.0 models (many Qwen/Mistral) are permissive - but check per-model, and license covers the weights, not training-data provenance or your regulatory duties."
